loss,accuracy,f1-score,val_loss,val_accuracy,val_f1-score
0.7798391580581665,0.5189921259880066,0.36354735493659973,0.7485930323600769,0.33591845631599426,0.3933863937854767
0.6597787141799927,0.6283020973205566,0.3854503631591797,0.6927996873855591,0.523856520652771,0.3838183581829071
0.5914408564567566,0.6926840543746948,0.4150238037109375,0.6476397514343262,0.6397229433059692,0.36970022320747375
0.541716992855072,0.7373471260070801,0.4346172511577606,0.612878143787384,0.6864978075027466,0.35322341322898865
0.49871736764907837,0.7727420330047607,0.4648485481739044,0.5976510643959045,0.7053301334381104,0.33359265327453613
0.46689432859420776,0.7944327592849731,0.48816633224487305,0.6092748641967773,0.7081353664398193,0.30816346406936646
0.4362567365169525,0.8139902353286743,0.5130246877670288,0.6410525441169739,0.7064905166625977,0.27869871258735657
0.41631603240966797,0.8261240720748901,0.5297282934188843,0.6810920834541321,0.7035679221153259,0.2476399838924408
0.39663878083229065,0.8361481428146362,0.5468252897262573,0.7045437693595886,0.7035205364227295,0.23337067663669586
0.37437599897384644,0.8486334085464478,0.5676174759864807,0.7543045878410339,0.7011163234710693,0.20243041217327118
0.35173001885414124,0.8601270318031311,0.5899286866188049,0.7959191799163818,0.7002546787261963,0.18415281176567078
0.3484864830970764,0.8595606088638306,0.5924094915390015,0.7986071705818176,0.7001194357872009,0.1935088187456131
0.3293002247810364,0.8689588308334351,0.6117885112762451,0.7961766719818115,0.6992743015289307,0.20954358577728271
0.32187578082084656,0.8723150491714478,0.616446852684021,0.7850633263587952,0.7001871466636658,0.2358526885509491
0.3055418133735657,0.8809664845466614,0.639683723449707,0.7629385590553284,0.7023794651031494,0.2649550437927246
0.2965717017650604,0.8846861720085144,0.6424434781074524,0.7245516777038574,0.7067227363586426,0.3031104505062103
0.2904595732688904,0.8863623142242432,0.6560423970222473,0.6792218685150146,0.7211863398551941,0.35195592045783997
0.2811588943004608,0.8908173441886902,0.6641386151313782,0.6084635257720947,0.7441487908363342,0.41699910163879395
0.26660242676734924,0.8975224494934082,0.6814596056938171,0.5767130851745605,0.7590836882591248,0.446738064289093
